legajo,actual,new,bultos,horas,dias,sectores,sector_principal,turnos,diff,diff_pct,bultos_hora,bultos_dia,pay_actual,nivel_actual,bultos_actuales,desde_actual,hasta_actual,pen_tnc,pen_error,eq_sector,eq_traslado,eq_cons,total_eq,pen_total,eq_per_hour,nivel_nuevo,premio_hora_nuevo,ritmo_nuevo,sectores_nuevo
195117,33610.78,32201.44,3869.0,40.0,6,3,CO,1,-1409.3400000000001,-4.19311899337058,96.725,644.8333333333334,33610.78,1.6666666666666667,644.8333333333334,815.0,17604.166666666668,0.0,0.0,3869.0,0.0,0.006,3869.005,0.0,96.725125,1.4477915804002761,985.8702922705314,1165.2187493558777,9
195118,0.0,0.0,0.0,1.0,1,1,B3,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,1
195119,0.0,0.0,0.0,1.0,1,1,PA,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,1
195120,0.0,0.0,0.0,1.0,1,1,B1,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,1
195121,193942.67,85073.26,9492.0,105.0,14,7,AM,1,-108869.41000000002,-56.13484129098564,90.4,678.0,193942.67,3.9285714285714284,678.0714285714286,1276.642857142857,22562.14285714286,0.0,0.0,12467.9,3175.334,72.54599999999999,15715.776,0.0,149.67405714285715,2.0537002346930042,996.4275943467916,133.54691180850676,13
195122,0.0,7519.429999999999,1187.0,30.0,12,6,B1,1,7519.429999999999,,39.56666666666667,98.91666666666667,0.0,1.0,593.5,770.0,999.0,0.0,0.0,1177.27,236.341,0.605,1414.2150000000001,0.0,47.1405,1.5654761904761905,460.5839285714286,74.66190575396826,8
196370,113859.14,110714.68,15878.0,148.0,21,6,F1,1,-3144.4600000000064,-2.7617106540590473,107.28378378378379,756.0952380952381,113859.14,1.8095238095238095,756.0952380952381,827.1428571428571,19983.47619047619,0.0,0.0,15878.0,0.0,0.147,15878.147,0.0,107.28477702702703,1.5005317735237413,798.5435946664422,113.8798002546368,10
196375,142764.22,39869.5,6300.0,79.0,11,10,VT,1,-102894.72,-72.07318472373541,79.74683544303798,572.7272727272727,142764.22,3.5,630.0,1212.4,40735.0,93.25999999999999,0.0,8642.209,2476.39,60.454,11179.054,93.25999999999999,141.50701265822784,1.8215395715395715,704.6622088605839,103.75028114010387,15
197259,0.0,0.0,0.0,4.0,4,3,PE,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,3
198019,469959.61,150738.04,19222.0,167.0,21,10,AM,1,-319221.56999999995,-67.92532022060362,115.10179640718563,915.3333333333334,469959.61,4.761904761904762,915.3333333333334,1413.952380952381,15718.047619047618,1131.94,0.0,23744.242000000002,6438.2390000000005,116.67699999999999,30299.158,1131.94,181.43208383233534,2.14346409757598,1148.6629115035112,203.73765051674965,18
