legajo,actual,nuevo_base,nuevo_ajustado,bultos,horas,dias,sector,diff_base,pct_base,diff_aj,pct_aj,bph,grupo,equiv
206694,685684.49,394770.63,443905.31,34828.0,226.0,28,B1,-290913.86,-42.42678144870974,-241779.18,-35.260995913732856,154.10619469026548,SECOS + NOA,1.0
206696,666068.6,467106.67,493581.01,36658.0,224.0,28,B1,-198961.93,-29.871086852014944,-172487.58999999997,-25.89637013364689,163.65178571428572,SECOS + NOA,1.0
206697,508128.61,171096.91,181336.57,21313.0,202.0,26,N1,-337031.69999999995,-66.3280306141392,-326792.04,-64.31285969117148,105.50990099009901,SECOS + NOA,0.33
206711,529905.93,362690.66000000003,403615.82,30981.0,210.0,26,B1,-167215.27000000002,-31.555651773891263,-126290.11000000004,-23.83255269477736,147.52857142857144,SECOS + NOA,1.0
206714,579315.23,357655.42,357655.42,31566.0,206.0,26,B1,-221659.81,-38.26238264096734,-221659.81,-38.26238264096734,153.23300970873785,SECOS + NOA,1.0
206716,408600.36,274598.95,274598.95,25641.0,171.0,23,B1,-134001.40999999997,-32.79522563318348,-134001.40999999997,-32.79522563318348,149.94736842105263,SECOS + NOA,1.0
206718,680164.99,401483.44,442920.82,33080.0,213.0,26,B1,-278681.55,-40.97263959440194,-237244.16999999998,-34.88038541942595,155.30516431924883,SECOS + NOA,1.0
206768,424712.65,279961.46,303921.12,28488.0,216.0,26,B1,-144751.19,-34.08214707049578,-120791.53000000003,-28.440765774224058,131.88888888888889,SECOS + NOA,1.0
206770,398080.12,314124.3,357119.22,27784.0,199.0,26,B1,-83955.82,-21.09018154435846,-40960.90000000002,-10.289612050961003,139.6180904522613,SECOS + NOA,1.0
206776,285479.9,86339.85,99797.13,15124.0,168.0,21,AM,-199140.05000000002,-69.75624203315189,-185682.77000000002,-65.04232697293224,90.02380952380952,SECOS + NOA,1.1
206788,493355.04,302631.3,328318.8,29433.0,208.0,26,B1,-190723.74,-38.658516592837486,-165036.24,-33.45182001181137,141.50480769230768,SECOS + NOA,1.0
206815,362520.99,147865.81,159986.61,18310.0,190.0,23,PI,-214655.18,-59.211793501943156,-202534.38,-55.868318135178875,96.36842105263158,SECOS + NOA,1.64
