mes,almacen,legajo,dias_participa,dias_con_escala_paga,bultos_turno_mes,bultos_prom_dia,nivel_maximo_dia,puntos_escala_mes,bono_estimado,dias_nivel_0,dias_nivel_1,dias_nivel_2,dias_nivel_3,dias_nivel_4,dias_nivel_5_mas
2026-06,AREA SECOS Y NO ALIMENTOS,194041,1,1,1446.73,1446.73,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,208363,1,1,1359.5,1359.5,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,206711,1,1,1294.21,1294.21,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,185590,1,1,1107.82,1107.82,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,124819,1,1,891.5,891.5,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,187155,1,1,783.0,783.0,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,195121,1,1,240.37,240.37,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,69703,1,1,4.89,4.89,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,173487,1,1,0.52,0.52,1,24.0,5.0,0,1,0,0,0,0
2026-06,CAMARA 06,118364,17,8,6946.45,408.61,4,74640.0,14329.0,9,0,2,2,4,0
2026-06,CAMARA 06,121581,18,8,6563.1,364.62,4,59760.0,11473.0,10,0,6,1,1,0
2026-06,CAMARA 06,121583,14,7,6310.16,450.73,4,58232.0,11179.0,7,0,4,0,3,0
2026-06,CAMARA 06,89964,17,4,4409.13,259.36,2,21032.0,4038.0,13,3,1,0,0,0
2026-06,CAMARA 06,198108,2,2,1295.0,647.5,4,20112.0,3861.0,0,0,0,1,1,0
2026-06,CAMARA 06,198876,5,3,1754.0,350.8,2,16224.0,3115.0,2,2,1,0,0,0
2026-06,CAMARA 06,195117,3,3,1412.0,470.67,2,16224.0,3115.0,0,2,1,0,0,0
2026-06,CAMARA 06,181826,18,3,4933.09,274.06,1,14424.0,2769.0,15,3,0,0,0,0
2026-06,CAMARA 06,206264,2,2,1103.0,551.5,3,14320.0,2749.0,0,1,0,1,0,0
2026-06,CAMARA 06,195116,1,1,705.0,705.0,4,10600.0,2035.0,0,0,0,0,1,0
2026-06,CAMARA 06,198671,1,1,650.0,650.0,4,10600.0,2035.0,0,0,0,0,1,0
2026-06,CAMARA 06,170559,12,2,3019.0,251.58,1,9616.0,1846.0,10,2,0,0,0,0
2026-06,CAMARA 06,203690,1,1,621.01,621.01,3,9512.0,1826.0,0,0,0,1,0,0
2026-06,CAMARA 06,207015,1,1,601.03,601.03,3,9512.0,1826.0,0,0,0,1,0,0
2026-06,CAMARA 06,194042,15,1,3616.0,241.07,2,6608.0,1269.0,14,0,1,0,0,0
2026-06,CAMARA 06,198874,2,1,773.0,386.5,2,6608.0,1269.0,1,0,1,0,0,0
2026-06,CAMARA 06,206265,1,1,506.02,506.02,2,6608.0,1269.0,0,0,1,0,0,0
2026-06,CAMARA 06,196370,2,1,697.0,348.5,1,4808.0,923.0,1,1,0,0,0,0
2026-06,CAMARA 06,734364,1,1,475.0,475.0,1,4808.0,923.0,0,1,0,0,0,0
2026-06,CAMARA 06,206121,1,1,455.0,455.0,1,4808.0,923.0,0,1,0,0,0,0
2026-06,CAMARA 06,734485,1,1,451.0,451.0,1,4808.0,923.0,0,1,0,0,0,0
2026-06,CAMARA 06,734479,1,0,391.0,391.0,0,0.0,0.0,1,0,0,0,0,0
2026-06,OTRAS CAMARAS,207402,20,20,22163.0,1108.15,4,183696.0,35266.0,0,0,6,4,10,0
2026-06,OTRAS CAMARAS,207420,20,18,21766.0,1088.3,4,177376.0,34053.0,2,0,2,5,11,0
2026-06,OTRAS CAMARAS,207479,24,22,22413.34,933.89,4,173352.0,33280.0,2,2,11,4,5,0
2026-06,OTRAS CAMARAS,207656,22,19,22374.0,1017.0,4,168016.0,32256.0,3,0,7,5,7,0
2026-06,OTRAS CAMARAS,207038,19,16,20681.0,1088.47,4,159080.0,30540.0,3,0,1,6,9,0
2026-06,OTRAS CAMARAS,207015,20,17,19506.22,975.31,4,149720.0,28743.0,3,0,6,6,5,0
2026-06,OTRAS CAMARAS,206264,18,16,19023.01,1056.83,4,148920.0,28590.0,2,0,3,8,5,0
2026-06,OTRAS CAMARAS,206265,18,17,18270.17,1015.01,4,145000.0,27837.0,1,0,8,3,6,0
2026-06,OTRAS CAMARAS,207453,21,16,20568.63,979.46,4,141296.0,27126.0,5,0,6,4,6,0
2026-06,OTRAS CAMARAS,207683,24,18,20883.49,870.15,4,134944.0,25907.0,6,2,10,4,2,0
2026-06,OTRAS CAMARAS,207687,24,18,19313.56,804.73,3,125160.0,24028.0,6,3,11,4,0,0
2026-06,OTRAS CAMARAS,203690,16,14,15072.19,942.01,4,121184.0,23265.0,2,0,6,3,5,0
2026-06,OTRAS CAMARAS,206130,17,13,17067.0,1003.94,4,116752.0,22414.0,4,0,5,1,7,0
2026-06,OTRAS CAMARAS,196370,17,15,15545.26,914.43,4,114032.0,21892.0,2,2,7,5,1,0
2026-06,OTRAS CAMARAS,734936,19,15,15537.24,817.75,3,113640.0,21817.0,4,0,10,5,0,0
2026-06,OTRAS CAMARAS,203576,18,14,15384.0,854.67,4,110296.0,21175.0,4,0,9,2,3,0
2026-06,OTRAS CAMARAS,734609,13,12,13348.06,1026.77,4,105792.0,20310.0,1,0,4,5,3,0
2026-06,OTRAS CAMARAS,734723,14,10,15543.0,1110.21,4,104912.0,20141.0,4,0,0,1,9,0
2026-06,OTRAS CAMARAS,734881,15,13,13978.01,931.87,4,104416.0,20046.0,2,0,7,5,1,0
2026-06,OTRAS CAMARAS,734434,16,14,13488.17,843.01,4,99408.0,19084.0,2,0,12,1,1,0
2026-06,OTRAS CAMARAS,734479,15,11,12273.01,818.2,4,91576.0,17581.0,4,1,4,3,3,0
2026-06,OTRAS CAMARAS,734611,16,11,12694.02,793.38,4,84680.0,16257.0,5,1,6,2,2,0
2026-06,OTRAS CAMARAS,734882,16,10,13650.15,853.13,4,79872.0,15334.0,6,0,6,2,2,0
2026-06,OTRAS CAMARAS,207684,24,13,17305.34,721.06,2,78704.0,15110.0,11,4,9,0,0,0
2026-06,OTRAS CAMARAS,735105,13,11,10891.0,837.77,4,74184.0,14242.0,2,3,6,1,1,0
2026-06,OTRAS CAMARAS,734364,15,10,12144.02,809.6,4,74080.0,14222.0,5,1,6,2,1,0
2026-06,OTRAS CAMARAS,207681,21,10,15276.25,727.44,3,69392.0,13322.0,11,3,4,3,0,0
2026-06,OTRAS CAMARAS,195116,7,7,7351.1,1050.16,4,65856.0,12643.0,0,0,1,4,2,0
2026-06,OTRAS CAMARAS,734939,15,9,10466.5,697.77,4,63872.0,12262.0,6,3,3,2,1,0
2026-06,OTRAS CAMARAS,206121,13,8,10894.1,838.01,4,63768.0,12242.0,5,1,3,3,1,0
2026-06,OTRAS CAMARAS,734485,8,7,7876.0,984.5,4,60048.0,11528.0,1,0,3,2,2,0
2026-06,OTRAS CAMARAS,734883,17,8,12152.17,714.83,3,57976.0,11130.0,9,2,3,3,0,0
2026-06,OTRAS CAMARAS,195117,12,8,8346.01,695.5,4,53256.0,10224.0,4,2,5,0,1,0
2026-06,OTRAS CAMARAS,734878,11,7,8008.04,728.0,4,51352.0,9859.0,4,1,4,1,1,0
2026-06,OTRAS CAMARAS,734937,14,8,10245.2,731.8,2,51064.0,9803.0,6,1,7,0,0,0
2026-06,OTRAS CAMARAS,735006,10,6,8889.06,888.91,4,50536.0,9702.0,4,0,3,1,2,0
2026-06,OTRAS CAMARAS,207659,16,8,11991.15,749.45,3,50368.0,9670.0,8,3,4,1,0,0
2026-06,OTRAS CAMARAS,735004,12,7,8107.2,675.6,4,48448.0,9301.0,5,1,5,0,1,0
2026-06,OTRAS CAMARAS,198108,7,5,6190.03,884.29,4,47920.0,9200.0,2,0,1,1,3,0
2026-06,OTRAS CAMARAS,734484,12,8,8366.19,697.18,2,47464.0,9112.0,4,3,5,0,0,0
2026-06,OTRAS CAMARAS,198874,12,7,8464.0,705.33,3,45560.0,8747.0,5,2,4,1,0,0
2026-06,OTRAS CAMARAS,735104,10,6,6974.18,697.42,3,43656.0,8381.0,4,1,3,2,0,0
2026-06,OTRAS CAMARAS,208364,4,4,4447.0,1111.75,4,38408.0,7374.0,0,0,1,0,3,0
2026-06,OTRAS CAMARAS,734367,7,5,5948.2,849.74,4,37424.0,7185.0,2,2,1,0,2,0
2026-06,OTRAS CAMARAS,198671,7,5,4670.02,667.15,3,34144.0,6555.0,2,1,3,1,0,0
2026-06,OTRAS CAMARAS,734884,5,4,5482.11,1096.42,4,33328.0,6398.0,1,0,2,1,1,0
2026-06,OTRAS CAMARAS,171027,8,5,5609.08,701.13,2,31240.0,5997.0,3,1,4,0,0,0
2026-06,OTRAS CAMARAS,735000,8,4,5258.13,657.27,4,30424.0,5841.0,4,0,3,0,1,0
2026-06,OTRAS CAMARAS,198876,7,4,5041.0,720.14,3,27536.0,5286.0,3,1,2,1,0,0
2026-06,OTRAS CAMARAS,206714,1,1,2039.98,2039.98,5,25600.0,4915.0,0,0,0,0,0,1
2026-06,OTRAS CAMARAS,733818,1,1,1762.07,1762.07,5,25600.0,4915.0,0,0,0,0,0,1
2026-06,OTRAS CAMARAS,207041,1,1,1585.96,1585.96,5,25600.0,4915.0,0,0,0,0,0,1
2026-06,OTRAS CAMARAS,734932,1,1,1548.98,1548.98,5,25600.0,4915.0,0,0,0,0,0,1
2026-06,OTRAS CAMARAS,734725,1,1,1521.24,1521.24,5,25600.0,4915.0,0,0,0,0,0,1
2026-06,OTRAS CAMARAS,734885,5,3,3999.13,799.83,3,22728.0,4363.0,2,0,2,1,0,0
2026-06,OTRAS CAMARAS,733815,2,2,2070.04,1035.02,3,19024.0,3652.0,0,0,0,2,0,0
2026-06,OTRAS CAMARAS,735273,2,2,1836.0,918.0,3,14320.0,2749.0,0,1,0,1,0,0
2026-06,OTRAS CAMARAS,734480,8,2,4264.0,533.0,2,13216.0,2537.0,6,0,2,0,0,0
2026-06,OTRAS CAMARAS,735109,8,2,4079.12,509.89,2,13216.0,2537.0,6,0,2,0,0,0
2026-06,OTRAS CAMARAS,735276,3,2,2025.0,675.0,2,13216.0,2537.0,1,0,2,0,0,0
2026-06,OTRAS CAMARAS,734483,2,2,1823.0,911.5,2,13216.0,2537.0,0,0,2,0,0,0
2026-06,OTRAS CAMARAS,733621,1,1,1459.54,1459.54,4,10600.0,2035.0,0,0,0,0,1,0
2026-06,OTRAS CAMARAS,734944,1,1,1319.97,1319.97,4,10600.0,2035.0,0,0,0,0,1,0
2026-06,OTRAS CAMARAS,192150,1,1,1279.05,1279.05,4,10600.0,2035.0,0,0,0,0,1,0
2026-06,OTRAS CAMARAS,199093,1,1,1159.6,1159.6,4,10600.0,2035.0,0,0,0,0,1,0
2026-06,OTRAS CAMARAS,735103,1,1,1120.43,1120.43,4,10600.0,2035.0,0,0,0,0,1,0
2026-06,OTRAS CAMARAS,735110,9,1,5126.56,569.62,2,6608.0,1269.0,8,0,1,0,0,0
2026-06,OTRAS CAMARAS,734930,8,1,4257.17,532.15,2,6608.0,1269.0,7,0,1,0,0,0
2026-06,OTRAS CAMARAS,733711,1,1,901.03,901.03,2,6608.0,1269.0,0,0,1,0,0,0
2026-06,OTRAS CAMARAS,734363,4,1,1854.05,463.51,1,4808.0,923.0,3,1,0,0,0,0
2026-06,OTRAS CAMARAS,735277,3,1,940.03,313.34,1,4808.0,923.0,2,1,0,0,0,0
2026-06,OTRAS CAMARAS,735001,6,0,2521.14,420.19,0,0.0,0.0,6,0,0,0,0,0
2026-06,OTRAS CAMARAS,735275,2,0,1466.07,733.03,0,0.0,0.0,2,0,0,0,0,0
2026-06,OTRAS CAMARAS,734938,4,0,784.01,196.0,0,0.0,0.0,4,0,0,0,0,0
2026-06,OTRAS CAMARAS,735274,2,0,476.0,238.0,0,0.0,0.0,2,0,0,0,0,0
2026-06,OTRAS CAMARAS,734716,3,0,206.01,68.67,0,0.0,0.0,3,0,0,0,0,0
2026-06,SECOS + NOA,207710,19,19,33316.24,1753.49,6,549696.0,105531.0,0,0,0,1,2,16
2026-06,SECOS + NOA,203637,21,16,36189.75,1723.32,7,548384.0,105279.0,5,0,0,0,0,16
2026-06,SECOS + NOA,207033,21,19,33646.91,1602.23,6,496592.0,95336.0,2,1,1,1,1,15
2026-06,SECOS + NOA,206714,19,18,31151.57,1639.56,6,485976.0,93298.0,1,1,0,1,3,13
2026-06,SECOS + NOA,206122,21,17,31445.66,1497.41,6,471152.0,90452.0,4,1,0,1,3,12
2026-06,SECOS + NOA,198873,20,17,32843.01,1642.15,6,462504.0,88792.0,3,1,0,0,3,13
2026-06,SECOS + NOA,206711,23,22,33881.78,1473.12,6,435968.0,83698.0,1,0,2,7,4,9
2026-06,SECOS + NOA,206718,21,19,31591.31,1504.35,6,434096.0,83338.0,2,2,0,1,5,11
2026-06,SECOS + NOA,207735,22,18,32252.42,1466.02,6,432032.0,82942.0,4,0,0,1,6,11
2026-06,SECOS + NOA,206147,23,21,33560.42,1459.15,6,428040.0,82176.0,2,1,1,2,7,10
2026-06,SECOS + NOA,206694,21,17,31848.51,1516.6,6,425656.0,81718.0,4,0,1,2,2,12
2026-06,SECOS + NOA,206716,19,18,30305.7,1595.04,6,420784.0,80782.0,1,0,1,3,3,11
2026-06,SECOS + NOA,207036,22,21,32924.55,1496.57,6,414672.0,79609.0,1,1,2,3,6,9
2026-06,SECOS + NOA,207731,20,19,30461.98,1523.1,6,406320.0,78006.0,1,0,0,4,5,10
2026-06,SECOS + NOA,207041,20,19,29993.22,1499.66,5,398816.0,76565.0,1,0,0,2,8,9
